ID,time,precipitation (mm),electricity_shutdown
17521,01/01/2024 00:00:00,0.13342035,0
17522,01/01/2024 01:00:00,0.05832292,0
17523,01/01/2024 02:00:00,0.076456726,0
17524,01/01/2024 03:00:00,0.09849923,0
17525,01/01/2024 04:00:00,0.1490635,0
17526,01/01/2024 05:00:00,0.08633872,0
17527,01/01/2024 06:00:00,0.21957974,0
17528,01/01/2024 07:00:00,0.22261162,0
17529,01/01/2024 08:00:00,0.25372013,0
17530,01/01/2024 09:00:00,0.2794952,0
17531,01/01/2024 10:00:00,0.41595355,0
17532,01/01/2024 11:00:00,0.5194686,0
17533,01/01/2024 12:00:00,0.7309235,0
17534,01/01/2024 13:00:00,6.948918,0
17535,01/01/2024 14:00:00,4.167403,0
17536,01/01/2024 15:00:00,3.0773177,0
17537,01/01/2024 16:00:00,1.4858607,0
17538,01/01/2024 17:00:00,0.4112989,0
17539,01/01/2024 18:00:00,0.54623884,0
17540,01/01/2024 19:00:00,1.0464491,0
17541,01/01/2024 20:00:00,0.90891796,0
17542,01/01/2024 21:00:00,2.2486491,0
17543,01/01/2024 22:00:00,7.154038,0
17544,01/01/2024 23:00:00,2.0072265,0
17545,01/02/2024 00:00:00,0.2236842,0
17546,01/02/2024 01:00:00,0.18456964,0
17547,01/02/2024 02:00:00,0.04369886,0
17548,01/02/2024 03:00:00,0.015539823,0
17549,01/02/2024 04:00:00,0.43593028,0
17550,01/02/2024 05:00:00,0.18018232,0
17551,01/02/2024 06:00:00,0.24426623,0
17552,01/02/2024 07:00:00,0.19078553,0
17553,01/02/2024 08:00:00,0.3669499,0
17554,01/02/2024 09:00:00,0.43146986,0
17555,01/02/2024 10:00:00,0.40653154,0
17556,01/02/2024 11:00:00,1.0723376,0
17557,01/02/2024 12:00:00,0.53174675,0
17558,01/02/2024 13:00:00,0.43430066,0
17559,01/02/2024 14:00:00,3.5536256,0
17560,01/02/2024 15:00:00,1.2971516,0
17561,01/02/2024 16:00:00,0.35486224,0
17562,01/02/2024 17:00:00,0.26032144,0
17563,01/02/2024 18:00:00,0.27404335,0
17564,01/02/2024 19:00:00,0.35016084,0
17565,01/02/2024 20:00:00,0.3289231,0
17566,01/02/2024 21:00:00,0.27407074,0
17567,01/02/2024 22:00:00,0.19577606,0
17568,01/02/2024 23:00:00,0.16180338,0
17569,01/03/2024 00:00:00,0.09303278,0
17570,01/03/2024 01:00:00,0.15031306,0
17571,01/03/2024 02:00:00,0.17264219,0
17572,01/03/2024 03:00:00,0.19980341,0
17573,01/03/2024 04:00:00,0.1089551,0
17574,01/03/2024 05:00:00,0.09191485,0
17575,01/03/2024 06:00:00,0.27611056,0
17576,01/03/2024 07:00:00,0.5466045,0
17577,01/03/2024 08:00:00,0.24040274,0
17578,01/03/2024 09:00:00,0.24901001,0
17579,01/03/2024 10:00:00,0.41170686,0
17580,01/03/2024 11:00:00,2.997764,0
17581,01/03/2024 12:00:00,4.768133,0
17582,01/03/2024 13:00:00,4.438911,0
17583,01/03/2024 14:00:00,3.2512662,0
17584,01/03/2024 15:00:00,6.7441125,0
17585,01/03/2024 16:00:00,1.8219174,0
17586,01/03/2024 17:00:00,1.1939381,0
17587,01/03/2024 18:00:00,0.2634614,0
17588,01/03/2024 19:00:00,0.21362984,0
17589,01/03/2024 20:00:00,1.3880826,0
17590,01/03/2024 21:00:00,0.7610426,0
17591,01/03/2024 22:00:00,0.02221849,0
17592,01/03/2024 23:00:00,0.13635343,0
17593,01/04/2024 00:00:00,0.041266583,0
17594,01/04/2024 01:00:00,0.0019704155,0
17595,01/04/2024 02:00:00,-0.004442748,0
17596,01/04/2024 03:00:00,0.036264278,0
17597,01/04/2024 04:00:00,0.0047231265,0
17598,01/04/2024 05:00:00,0.0058647282,0
17599,01/04/2024 06:00:00,0.16740717,0
17600,01/04/2024 07:00:00,0.16452304,0
17601,01/04/2024 08:00:00,0.19323371,0
17602,01/04/2024 09:00:00,0.24941526,0
17603,01/04/2024 10:00:00,0.37593514,0
17604,01/04/2024 11:00:00,0.57411605,0
17605,01/04/2024 12:00:00,1.6748711,0
17606,01/04/2024 13:00:00,0.7758851,0
17607,01/04/2024 14:00:00,5.011796,0
17608,01/04/2024 15:00:00,2.898836,0
17609,01/04/2024 16:00:00,4.5679064,0
17610,01/04/2024 17:00:00,4.307104,0
17611,01/04/2024 18:00:00,0.9953555,0
17612,01/04/2024 19:00:00,0.8067689,0
17613,01/04/2024 20:00:00,3.1486785,0
17614,01/04/2024 21:00:00,1.5730515,0
17615,01/04/2024 22:00:00,0.8291514,0
17616,01/04/2024 23:00:00,0.49071553,0
17617,01/05/2024 00:00:00,0.042987645,0
17618,01/05/2024 01:00:00,0.3384983,0
17619,01/05/2024 02:00:00,0.21167156,0
17620,01/05/2024 03:00:00,0.16185431,0
17621,01/05/2024 04:00:00,0.23467197,0
17622,01/05/2024 05:00:00,0.4855683,0
17623,01/05/2024 06:00:00,0.47143403,0
17624,01/05/2024 07:00:00,0.5675973,0
17625,01/05/2024 08:00:00,0.27998528,0
17626,01/05/2024 09:00:00,0.2549563,0
17627,01/05/2024 10:00:00,0.31962126,0
17628,01/05/2024 11:00:00,0.3393747,0
17629,01/05/2024 12:00:00,0.53383595,0
17630,01/05/2024 13:00:00,6.71248,0
17631,01/05/2024 14:00:00,3.5514798,0
17632,01/05/2024 15:00:00,6.188071,0
17633,01/05/2024 16:00:00,1.2895206,0
17634,01/05/2024 17:00:00,1.4325898,0
17635,01/05/2024 18:00:00,0.6697525,0
17636,01/05/2024 19:00:00,0.75832486,0
17637,01/05/2024 20:00:00,1.0704066,0
17638,01/05/2024 21:00:00,0.0150812855,0
17639,01/05/2024 22:00:00,0.018394876,0
17640,01/05/2024 23:00:00,0.04287152,0
17641,01/06/2024 00:00:00,0.0647545,0
17642,01/06/2024 01:00:00,0.06881106,0
17643,01/06/2024 02:00:00,0.13305695,0
17644,01/06/2024 03:00:00,0.087173715,0
17645,01/06/2024 04:00:00,0.23297773,0
17646,01/06/2024 05:00:00,0.028309003,0
17647,01/06/2024 06:00:00,0.20432961,0
17648,01/06/2024 07:00:00,0.3201549,0
17649,01/06/2024 08:00:00,0.26563823,0
17650,01/06/2024 09:00:00,0.35550022,0
17651,01/06/2024 10:00:00,0.40346587,0
17652,01/06/2024 11:00:00,0.35739952,0
17653,01/06/2024 12:00:00,1.0626858,0
17654,01/06/2024 13:00:00,0.8731086,0
17655,01/06/2024 14:00:00,6.5867248,0
17656,01/06/2024 15:00:00,7.2159634,0
17657,01/06/2024 16:00:00,4.6877894,0
17658,01/06/2024 17:00:00,2.0757954,0
17659,01/06/2024 18:00:00,0.43478167,0
17660,01/06/2024 19:00:00,0.18005177,0
17661,01/06/2024 20:00:00,0.19806542,0
17662,01/06/2024 21:00:00,0.2720993,0
17663,01/06/2024 22:00:00,0.17612772,0
17664,01/06/2024 23:00:00,0.19765295,0
17665,01/07/2024 00:00:00,1.0848374,0
17666,01/07/2024 01:00:00,0.54863465,0
17667,01/07/2024 02:00:00,1.1241239,0
17668,01/07/2024 03:00:00,0.7417031,0
17669,01/07/2024 04:00:00,1.2989242,0
17670,01/07/2024 05:00:00,1.2977629,0
17671,01/07/2024 06:00:00,0.77670854,0
17672,01/07/2024 07:00:00,0.6422809,0
17673,01/07/2024 08:00:00,0.4807051,0
17674,01/07/2024 09:00:00,0.5868303,0
17675,01/07/2024 10:00:00,4.113784,0
17676,01/07/2024 11:00:00,3.8806005,0
17677,01/07/2024 12:00:00,1.9759067,0
17678,01/07/2024 13:00:00,1.551973,0
17679,01/07/2024 14:00:00,0.6515696,0
17680,01/07/2024 15:00:00,0.32713756,0
17681,01/07/2024 16:00:00,0.7564924,0
17682,01/07/2024 17:00:00,0.88404065,0
17683,01/07/2024 18:00:00,0.5914313,0
17684,01/07/2024 19:00:00,0.21670145,0
17685,01/07/2024 20:00:00,1.7382131,0
17686,01/07/2024 21:00:00,0.36746287,0
17687,01/07/2024 22:00:00,0.486757,0
17688,01/07/2024 23:00:00,0.44466949,0
17689,01/08/2024 00:00:00,0.8060205,0
17690,01/08/2024 01:00:00,0.84140927,0
17691,01/08/2024 02:00:00,0.64186525,0
17692,01/08/2024 03:00:00,0.6914983,0
17693,01/08/2024 04:00:00,0.2545584,0
17694,01/08/2024 05:00:00,1.2545146,0
17695,01/08/2024 06:00:00,1.024276,0
17696,01/08/2024 07:00:00,0.9553504,0
17697,01/08/2024 08:00:00,0.274432,0
17698,01/08/2024 09:00:00,0.3435114,0
17699,01/08/2024 10:00:00,0.28627267,0
17700,01/08/2024 11:00:00,0.34622192,0
17701,01/08/2024 12:00:00,0.8526406,0
17702,01/08/2024 13:00:00,1.0931163,0
17703,01/08/2024 14:00:00,2.5197527,0
17704,01/08/2024 15:00:00,0.7911635,0
17705,01/08/2024 16:00:00,0.48825505,0
17706,01/08/2024 17:00:00,0.32632032,0
17707,01/08/2024 18:00:00,0.2859393,0
17708,01/08/2024 19:00:00,0.15756872,0
17709,01/08/2024 20:00:00,0.18087484,0
17710,01/08/2024 21:00:00,0.14849412,0
17711,01/08/2024 22:00:00,0.17470112,0
17712,01/08/2024 23:00:00,0.07495981,0
17713,01/09/2024 00:00:00,0.12461831,0
17714,01/09/2024 01:00:00,0.068285994,0
17715,01/09/2024 02:00:00,0.029043868,0
17716,01/09/2024 03:00:00,0.14242418,0
17717,01/09/2024 04:00:00,0.09443937,0
17718,01/09/2024 05:00:00,0.03530249,0
17719,01/09/2024 06:00:00,0.20468837,0
17720,01/09/2024 07:00:00,0.22062959,0
17721,01/09/2024 08:00:00,0.27874562,0
17722,01/09/2024 09:00:00,0.27694398,0
17723,01/09/2024 10:00:00,0.48346132,0
17724,01/09/2024 11:00:00,1.3869272,0
17725,01/09/2024 12:00:00,0.49623415,0
17726,01/09/2024 13:00:00,0.4798642,0
17727,01/09/2024 14:00:00,0.5414032,0
17728,01/09/2024 15:00:00,7.5912123,0
17729,01/09/2024 16:00:00,0.8532137,0
17730,01/09/2024 17:00:00,0.393153,0
17731,01/09/2024 18:00:00,0.2741621,0
17732,01/09/2024 19:00:00,0.07399274,0
17733,01/09/2024 20:00:00,0.17427489,0
17734,01/09/2024 21:00:00,0.14705275,0
17735,01/09/2024 22:00:00,0.06236198,0
17736,01/09/2024 23:00:00,0.08853323,0
17737,01/10/2024 00:00:00,0.017739728,0
17738,01/10/2024 01:00:00,0.035053853,0
17739,01/10/2024 02:00:00,0.6751286,0
17740,01/10/2024 03:00:00,0.14401688,0
17741,01/10/2024 04:00:00,0.021221384,0
17742,01/10/2024 05:00:00,0.08723175,0
17743,01/10/2024 06:00:00,0.2554538,0
17744,01/10/2024 07:00:00,0.238004,0
17745,01/10/2024 08:00:00,0.26618004,0
17746,01/10/2024 09:00:00,0.2880353,0
17747,01/10/2024 10:00:00,0.32949775,0
17748,01/10/2024 11:00:00,0.33266878,0
17749,01/10/2024 12:00:00,0.5403543,0
17750,01/10/2024 13:00:00,0.68616587,0
